UNIQUE_CODE,STATE,PARLIAMENTARY_CODE,PARLIAMENTARY_NAME,WINNING_PARTY, PARTY,TOTAL_ ELECTORATE,WINNING_MAJORITY,TOTAL_BALLOT_ISSUED,ABSENT_VOTE,CHANGE_OF_RESULT
P.001,Perlis,P.001,Padang Besar,BN - UMNO,Barisan Nasional (BN),46096,1438,37432,8664,TRUE
P.002,Perlis,P.002,Kangar,PH - PKR,Pakatan Harapan (PH),55938,5603,45703,10235,TRUE
P.003,Perlis,P.003,Arau,BN - UMNO,Barisan Nasional (BN),48187,4856,40433,7754,TRUE
P.004,Kedah,P.004,Langkawi,PH - PPBM,Pakatan Harapan (PH),42697,8893,35250,7447,FALSE
P.005,Kedah,P.005,Jerlun,PH - PPBM,Pakatan Harapan (PH),54132,5866,44822,9310,TRUE
P.006,Kedah,P.006,Kubang Pasu,PH - PPBM,Pakatan Harapan (PH),73881,13009,61452,12429,FALSE
P.007,Kedah,P.007,Padang Terap,BN - UMNO,Barisan Nasional (BN),46644,1099,39932,6712,TRUE
P.008,Kedah,P.008,Pokok Sena,PH - PAN,Pakatan Harapan (PH),86892,5558,71910,14982,TRUE
P.009,Kedah,P.009,Alor Setar,PH - PKR,Pakatan Harapan (PH),80272,15200,65096,15176,FALSE
P.010,Kedah,P.010,Kuala Kedah,PH - PKR,Pakatan Harapan (PH),97753,13481,80555,17198,TRUE
P.011,Kedah,P.011,Pendang,GS - PAS,PAS,74867,5808,63371,11496,TRUE
P.012,Kedah,P.012,Jerai,GS - PAS,PAS,79976,539,66920,13056,TRUE
P.013,Kedah,P.013,Sik,GS - PAS,PAS,50385,5218,42772,7613,TRUE
P.014,Kedah,P.014,Merbok,PH - PKR,Pakatan Harapan (PH),87782,10072,72708,15074,TRUE
P.015,Kedah,P.015,Sungai Petani,PH - PKR,Pakatan Harapan (PH),112577,21569,93847,18730,FALSE
P.016,Kedah,P.016,Baling,BN - UMNO,Barisan Nasional (BN),107213,1074,92128,15085,TRUE
P.017,Kedah,P.017,Padang Serai,PH - PKR,Pakatan Harapan (PH),84834,8813,71157,13677,TRUE
P.018,Kedah,P.018,Kulim-Bandar Baharu,PH - PKR,Pakatan Harapan (PH),66587,4860,55390,11197,TRUE
P.019,Kelantan,P.019,Tumpat,GS - PAS,PAS,110924,17500,88733,22191,TRUE
P.020,Kelantan,P.020,Pengkalan Chepa,GS - PAS,PAS,75384,13232,60862,14522,TRUE
P.021,Kelantan,P.021,Kota Bharu,GS - PAS,PAS,88708,5869,68306,20402,TRUE
P.022,Kelantan,P.022,Pasir Mas,GS - PAS,PAS,71222,13075,55319,15903,TRUE
P.023,Kelantan,P.023,Rantau Panjang,GS - PAS,PAS,66115,6150,49639,16476,TRUE
P.024,Kelantan,P.024,Kubang Kerian,GS - PAS,PAS,82018,19369,64867,17151,FALSE
P.025,Kelantan,P.025,Bachok,GS - PAS,PAS,92606,3292,75945,16661,TRUE
P.026,Kelantan,P.026,Ketereh,BN - UMNO,Barisan Nasional (BN),65238,4626,54404,10834,TRUE
P.027,Kelantan,P.027,Tanah Merah,BN - UMNO,Barisan Nasional (BN),73172,2929,59598,13574,TRUE
P.028,Kelantan,P.028,Pasir Puteh,GS - PAS,PAS,85411,1360,69745,15666,TRUE
P.029,Kelantan,P.029,Machang,BN - UMNO,Barisan Nasional (BN),68387,2824,56320,12067,TRUE
P.030,Kelantan,P.030,Jeli,BN - UMNO,Barisan Nasional (BN),47470,6647,39627,7843,TRUE
P.031,Kelantan,P.031,Kuala Krai,GS - PAS,PAS,70348,7992,56278,14070,TRUE
P.032,Kelantan,P.032,Gua Musang,BN - UMNO,Barisan Nasional (BN),52524,3913,41206,11318,TRUE
P.033,Terengganu,P.033,Besut,BN - UMNO,Barisan Nasional (BN),86627,4599,72323,14304,TRUE
P.034,Terengganu,P.034,Setiu,GS - PAS,PAS,86247,2802,73673,12574,TRUE
P.035,Terengganu,P.035,Kuala Nerus,GS - PAS,PAS,83663,8447,73211,10452,TRUE
P.036,Terengganu,P.036,Kuala Terengganu,GS - PAS,PAS,103611,14773,87786,15825,TRUE
P.037,Terengganu,P.037,Marang,GS - PAS,PAS,104898,21954,92046,12852,FALSE
P.038,Terengganu,P.038,Hulu Terengganu,BN - UMNO,Barisan Nasional (BN),73487,2868,63428,10059,TRUE
P.039,Terengganu,P.039,Dungun,GS - PAS,PAS,90506,13119,76706,13800,TRUE
P.040,Terengganu,P.040,Kemaman,GS - PAS,PAS,107593,2163,92007,15586,TRUE
P.041,Pulau Pinang,P.041,Kepala Batas,BN - UMNO,Barisan Nasional (BN),60523,4736,53127,7396,TRUE
P.042,Pulau Pinang,P.042,Tasek Gelugor,BN - UMNO,Barisan Nasional (BN),60850,81,52890,7960,TRUE
P.043,Pulau Pinang,P.043,Bagan,PH - DAP,Pakatan Harapan (PH),71583,43902,60642,10941,FALSE
P.044,Pulau Pinang,P.044,Permatang Pauh,PH - PKR,Pakatan Harapan (PH),81789,15668,70686,11103,FALSE
P.045,Pulau Pinang,P.045,Bukit Mertajam,PH - DAP,Pakatan Harapan (PH),88998,52877,75977,13021,FALSE
P.046,Pulau Pinang,P.046,Batu Kawan,PH - DAP,Pakatan Harapan (PH),65394,33553,55479,9915,FALSE
P.047,Pulau Pinang,P.047,Nibong Tebal,PH - PKR,Pakatan Harapan (PH),73383,15817,63199,10184,FALSE
P.048,Pulau Pinang,P.048,Bukit Bendera,PH - DAP,Pakatan Harapan (PH),75069,40731,60429,14640,FALSE
P.049,Pulau Pinang,P.049,Tanjong,PH - DAP,Pakatan Harapan (PH),49586,29599,40130,9456,FALSE
P.050,Pulau Pinang,P.050,Jelutong,PH - DAP,Pakatan Harapan (PH),76991,38171,64584,12407,FALSE
P.051,Pulau Pinang,P.051,Bukit Gelugor,PH - DAP,Pakatan Harapan (PH),91595,55951,76489,15106,FALSE
P.052,Pulau Pinang,P.052,Bayan Baru,PH - PKR,Pakatan Harapan (PH),90780,37751,75884,14896,FALSE
P.053,Pulau Pinang,P.053,Balik Pulau,PH - PKR,Pakatan Harapan (PH),59086,6464,50564,8522,TRUE
P.054,Perak,P.054,Gerik,BN - UMNO,Barisan Nasional (BN),35903,5528,28032,7871,TRUE
P.055,Perak,P.055,Lenggong,BN - UMNO,Barisan Nasional (BN),29752,5773,23719,6033,TRUE
P.056,Perak,P.056,Larut,BN - UMNO,Barisan Nasional (BN),49453,4486,40470,8983,TRUE
P.057,Perak,P.057,Parit Buntar,PH - PAN,Pakatan Harapan (PH),51860,3098,43347,8513,TRUE
P.058,Perak,P.058,Bagan Serai,BN - UMNO,Barisan Nasional (BN),59293,172,48381,10912,TRUE
P.059,Perak,P.059,Bukit Gantang,BN - UMNO,Barisan Nasional (BN),69873,4089,57867,12006,TRUE
P.060,Perak,P.060,Taiping,PH - DAP,Pakatan Harapan (PH),90729,27384,71297,19432,FALSE
