AGE_RANGE,GENDER,CENTER_AXIS,FEMALE,MALE,SUM
18-20,Male,0,,694879,1393508
21-29,Male,0,,2300719,4614392
30-39,Male,0,,2333938,4681350
40-49,Male,0,,1816369,3645231
50-59,Male,0,,1508053,3027527
60-69,Male,0,,1133869,2277090
70-79,Male,0,,544346,1093969
80-89,Male,0,,175902,353544
90+,Male,0,,43397,86915
18-20,Female,0,698629,,
21-29,Female,0,2313673,,
30-39,Female,0,2347412,,
40-49,Female,0,1828862,,
50-59,Female,0,1519474,,
60-69,Female,0,1143221,,
70-79,Female,0,549623,,
80-89,Female,0,177642,,
90+,Female,0,43518,,
