STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,PARTY
Perlis,P.001,Padang Besar,Barisan Nasional (BN)
Perlis,P.002,Kangar,Pakatan Harapan (PH)
Perlis,P.003,Arau,Barisan Nasional (BN)
Kedah,P.004,Langkawi,Pakatan Harapan (PH)
Kedah,P.005,Jerlun,Pakatan Harapan (PH)
Kedah,P.006,Kubang Pasu,Pakatan Harapan (PH)
Kedah,P.007,Padang Terap,Barisan Nasional (BN)
Kedah,P.008,Pokok Sena,Pakatan Harapan (PH)
Kedah,P.009,Alor Setar,Pakatan Harapan (PH)
Kedah,P.010,Kuala Kedah,Pakatan Harapan (PH)
Kedah,P.011,Pendang,PAS
Kedah,P.012,Jerai,PAS
Kedah,P.013,Sik,PAS
Kedah,P.014,Merbok,Pakatan Harapan (PH)
Kedah,P.015,Sungai Petani,Pakatan Harapan (PH)
Kedah,P.016,Baling,Barisan Nasional (BN)
Kedah,P.017,Padang Serai,Pakatan Harapan (PH)
Kedah,P.018,Kulim-Bandar Baharu,Pakatan Harapan (PH)
Kelantan,P.019,Tumpat,PAS
Kelantan,P.020,Pengkalan Chepa,PAS
Kelantan,P.021,Kota Bharu,PAS
Kelantan,P.022,Pasir Mas,PAS
Kelantan,P.023,Rantau Panjang,PAS
Kelantan,P.024,Kubang Kerian,PAS
Kelantan,P.025,Bachok,PAS
Kelantan,P.026,Ketereh,Barisan Nasional (BN)
Kelantan,P.027,Tanah Merah,Barisan Nasional (BN)
Kelantan,P.028,Pasir Puteh,PAS
Kelantan,P.029,Machang,Barisan Nasional (BN)
Kelantan,P.030,Jeli,Barisan Nasional (BN)
Kelantan,P.031,Kuala Krai,PAS
Kelantan,P.032,Gua Musang,Barisan Nasional (BN)
Terengganu,P.033,Besut,Barisan Nasional (BN)
Terengganu,P.034,Setiu,PAS
Terengganu,P.035,Kuala Nerus,PAS
Terengganu,P.036,Kuala Terengganu,PAS
Terengganu,P.037,Marang,PAS
Terengganu,P.038,Hulu Terengganu,Barisan Nasional (BN)
Terengganu,P.039,Dungun,PAS
Terengganu,P.040,Kemaman,PAS
Pulau Pinang,P.041,Kepala Batas,Barisan Nasional (BN)
Pulau Pinang,P.042,Tasek Gelugor,Barisan Nasional (BN)
Pulau Pinang,P.043,Bagan,Pakatan Harapan (PH)
Pulau Pinang,P.044,Permatang Pauh,Pakatan Harapan (PH)
Pulau Pinang,P.045,Bukit Mertajam,Pakatan Harapan (PH)
Pulau Pinang,P.046,Batu Kawan,Pakatan Harapan (PH)
Pulau Pinang,P.047,Nibong Tebal,Pakatan Harapan (PH)
Pulau Pinang,P.048,Bukit Bendera,Pakatan Harapan (PH)
Pulau Pinang,P.049,Tanjong,Pakatan Harapan (PH)
Pulau Pinang,P.050,Jelutong,Pakatan Harapan (PH)
Pulau Pinang,P.051,Bukit Gelugor,Pakatan Harapan (PH)
Pulau Pinang,P.052,Bayan Baru,Pakatan Harapan (PH)
Pulau Pinang,P.053,Balik Pulau,Pakatan Harapan (PH)
Perak,P.054,Gerik,Barisan Nasional (BN)
Perak,P.055,Lenggong,Barisan Nasional (BN)
Perak,P.056,Larut,Barisan Nasional (BN)
Perak,P.057,Parit Buntar,Pakatan Harapan (PH)
Perak,P.058,Bagan Serai,Barisan Nasional (BN)
Perak,P.059,Bukit Gantang,Barisan Nasional (BN)
Perak,P.060,Taiping,Pakatan Harapan (PH)
Perak,P.061,Padang Rengas,Barisan Nasional (BN)
Perak,P.062,Sungai Siput,Pakatan Harapan (PH)
Perak,P.063,Tambun,Pakatan Harapan (PH)
Perak,P.064,Ipoh Timor,Pakatan Harapan (PH)
Perak,P.065,Ipoh Barat,Pakatan Harapan (PH)
Perak,P.066,Batu Gajah,Pakatan Harapan (PH)
Perak,P.067,Kuala Kangsar,Barisan Nasional (BN)
Perak,P.068,Beruas,Pakatan Harapan (PH)
Perak,P.069,Parit,Barisan Nasional (BN)
Perak,P.070,Kampar,Pakatan Harapan (PH)
Perak,P.071,Gopeng,Pakatan Harapan (PH)
Perak,P.072,Tapah,Barisan Nasional (BN)
Perak,P.073,Pasir Salak,Barisan Nasional (BN)
Perak,P.074,Lumut,Pakatan Harapan (PH)
Perak,P.075,Bagan Datuk,Barisan Nasional (BN)
Perak,P.076,Teluk Intan,Pakatan Harapan (PH)
Perak,P.077,Tanjong Malim,Pakatan Harapan (PH)
Pahang,P.078,Cameron Highlands,Barisan Nasional (BN)
Pahang,P.079,Lipis,Barisan Nasional (BN)
Pahang,P.080,Raub,Pakatan Harapan (PH)
Pahang,P.081,Jerantut,Barisan Nasional (BN)
Pahang,P.082,Indera Mahkota,Pakatan Harapan (PH)
Pahang,P.083,Kuantan,Pakatan Harapan (PH)
Pahang,P.084,Paya Besar,Barisan Nasional (BN)
Pahang,P.085,Pekan,Barisan Nasional (BN)
Pahang,P.086,Maran,Barisan Nasional (BN)
Pahang,P.087,Kuala Krau,Barisan Nasional (BN)
Pahang,P.088,Temerloh,Pakatan Harapan (PH)
Pahang,P.089,Bentong,Pakatan Harapan (PH)
Pahang,P.090,Bera,Barisan Nasional (BN)
Pahang,P.091,Rompin,Barisan Nasional (BN)
Selangor,P.092,Sabak Bernam,Barisan Nasional (BN)
Selangor,P.093,Sungai Besar,Pakatan Harapan (PH)
Selangor,P.094,Hulu Selangor,Pakatan Harapan (PH)
Selangor,P.095,Tanjong Karang,Barisan Nasional (BN)
Selangor,P.096,Kuala Selangor,Pakatan Harapan (PH)
Selangor,P.097,Selayang,Pakatan Harapan (PH)
Selangor,P.098,Gombak,Pakatan Harapan (PH)
Selangor,P.099,Ampang,Pakatan Harapan (PH)
Selangor,P.100,Pandan,Pakatan Harapan (PH)
Selangor,P.101,Hulu Langat,Pakatan Harapan (PH)
Selangor,P.102,Bangi,Pakatan Harapan (PH)
Selangor,P.103,Puchong,Pakatan Harapan (PH)
Selangor,P.104,Subang,Pakatan Harapan (PH)
Selangor,P.105,Petaling Jaya,Pakatan Harapan (PH)
Selangor,P.106,Damansara,Pakatan Harapan (PH)
Selangor,P.107,Sungai Buloh,Pakatan Harapan (PH)
Selangor,P.108,Shah Alam,Pakatan Harapan (PH)
Selangor,P.109,Kapar,Pakatan Harapan (PH)
Selangor,P.110,Klang,Pakatan Harapan (PH)
Selangor,P.111,Kota Raja,Pakatan Harapan (PH)
Selangor,P.112,Kuala Langat,Pakatan Harapan (PH)
Selangor,P.113,Sepang,Pakatan Harapan (PH)
Wilayah Persekutuan Kuala Lumpur,P.114,Kepong,Pakatan Harapan (PH)
Wilayah Persekutuan Kuala Lumpur,P.115,Batu,Independent
Wilayah Persekutuan Kuala Lumpur,P.116,Wangsa Maju,Pakatan Harapan (PH)
Wilayah Persekutuan Kuala Lumpur,P.117,Segambut,Pakatan Harapan (PH)
Wilayah Persekutuan Kuala Lumpur,P.118,Setiawangsa,Pakatan Harapan (PH)
Wilayah Persekutuan Kuala Lumpur,P.119,Titiwangsa,Pakatan Harapan (PH)
Wilayah Persekutuan Kuala Lumpur,P.120,Bukit Bintang,Pakatan Harapan (PH)
Wilayah Persekutuan Kuala Lumpur,P.121,Lembah Pantai,Pakatan Harapan (PH)
Wilayah Persekutuan Kuala Lumpur,P.122,Seputeh,Pakatan Harapan (PH)
Wilayah Persekutuan Kuala Lumpur,P.123,Cheras,Pakatan Harapan (PH)
Wilayah Persekutuan Kuala Lumpur,P.124,Bandar Tun Razak,Pakatan Harapan (PH)
Wilayah Persekutuan Putrajaya,P.125,Putrajaya,Barisan Nasional (BN)
Negeri Sembilan,P.126,Jelebu,Barisan Nasional (BN)
Negeri Sembilan,P.127,Jempol,Barisan Nasional (BN)
Negeri Sembilan,P.128,Seremban,Pakatan Harapan (PH)
Negeri Sembilan,P.129,Kuala Pilah,Pakatan Harapan (PH)
Negeri Sembilan,P.130,Rasah,Pakatan Harapan (PH)
Negeri Sembilan,P.131,Rembau,Barisan Nasional (BN)
Negeri Sembilan,P.132,Port Dickson,Pakatan Harapan (PH)
Negeri Sembilan,P.133,Tampin,Pakatan Harapan (PH)
Melaka,P.134,Masjid Tanah,Barisan Nasional (BN)
Melaka,P.135,Alor Gajah,Pakatan Harapan (PH)
Melaka,P.136,Tangga Batu,Pakatan Harapan (PH)
Melaka,P.137,Hang Tuah Jaya,Pakatan Harapan (PH)
Melaka,P.138,Kota Melaka,Pakatan Harapan (PH)
Melaka,P.139,Jasin,Barisan Nasional (BN)
Johor,P.140,Segamat,Pakatan Harapan (PH)
Johor,P.141,Sekijang,Pakatan Harapan (PH)
Johor,P.142,Labis,Pakatan Harapan (PH)
