STATE,WINNING PARTY,Barisan Nasional (BN),Pakatan Harapan (PH),PAS,Warisan,Sabah Star,Independent
Johor,Pakatan Harapan (PH),8,18,0,0,0,0
Kedah,Pakatan Harapan (PH),2,10,3,0,0,0
Kelantan,PAS,5,0,9,0,0,0
Melaka,Pakatan Harapan (PH),2,4,0,0,0,0
Negeri Sembilan,Pakatan Harapan (PH),3,5,0,0,0,0
Pahang,Barisan Nasional (BN),9,5,0,0,0,0
Perak,Pakatan Harapan (PH),11,13,0,0,0,0
Perlis,Barisan Nasional (BN),2,1,0,0,0,0
Pulau Pinang,Pakatan Harapan (PH),2,11,0,0,0,0
Sabah,Barisan Nasional (BN),10,6,0,8,1,0
Sarawak,Barisan Nasional (BN),19,10,0,0,0,2
Selangor,Pakatan Harapan (PH),2,20,0,0,0,0
Terengganu,PAS,2,0,6,0,0,0
WP K Lumpur,Pakatan Harapan (PH),0,10,0,0,0,1
WP Labuan,Barisan Nasional (BN),1,0,0,0,0,0
WP Putrajaya,Barisan Nasional (BN),1,0,0,0,0,0
