UNIQUE_CODE,STATE,PARLIAMENTARY_CODE,PARLIAMENTARY_NAME,WINNING_PARTY,TOTA_ ELECTORATE,WINNING_MAJORITY,TURNOUT,TOTAL_BALLOTS_ISSUED,ABSENT_VOTE,CHANGE_OF_RESULT
P.001,Perlis,P.001,Padang Besar,PN - PAS,60192,12514,76.52,46059,14133,TRUE
P.002,Perlis,P.002,Kangar,PN - PPBM,74859,9192,76.13,56989,17870,TRUE
P.003,Perlis,P.003,Arau,PN - DIRECT,60876,23216,78.2,47605,13271,FALSE
P.004,Kedah,P.004,Langkawi,PN - PPBM,66777,13518,72.07,48123,18654,TRUE
P.005,Kedah,P.005,Jerlun,PN - PAS,67601,20456,78.27,52909,14692,FALSE
P.006,Kedah,P.006,Kubang Pasu,PN - PPBM,108217,31584,78.07,84486,23731,FALSE
P.007,Kedah,P.007,Padang Terap,PN - PAS,59806,10959,82.5,49341,10465,FALSE
P.008,Kedah,P.008,Pokok Sena,PN - PAS,114838,31751,77.48,88976,25862,FALSE
P.009,Kedah,P.009,Alor Setar,PN - PAS,105994,9931,73.56,77969,28025,TRUE
P.010,Kedah,P.010,Kuala Kedah,PN - PAS,132500,28061,76.61,101510,30990,TRUE
P.011,Kedah,P.011,Pendang,PN - PAS,94547,31289,80.79,76381,18166,FALSE
P.012,Kedah,P.012,Jerai,PN - PAS,105001,33192,79.33,83294,21707,FALSE
P.013,Kedah,P.013,Sik,PN - PAS,63126,21787,81.83,51659,11467,FALSE
P.014,Kedah,P.014,Merbok,PN - PPBM,132444,21019,78.36,103779,28665,TRUE
P.015,Kedah,P.015,Sungai Petani,PH - PKR,168847,1115,77.85,131447,37400,TRUE
P.016,Kedah,P.016,Baling,PN - PAS,132099,29137,83.54,110353,21746,FALSE
P.017,Kedah,P.017,Padang Serai,PN - PPBM,133867,16260,68.95,92302,41565,TRUE
P.018,Kedah,P.018,Kulim,PN - PPBM,90141,13061,79.25,71440,18701,TRUE
P.019,Kelantan,P.019,Tumpat,PN - PAS,149371,34793,71.08,106173,43198,TRUE
P.020,Kelantan,P.020,Pengkalan Chepa,PN - PAS,106982,38270,73.53,78659,28323,FALSE
P.021,Kelantan,P.021,Kota Bharu,PN - PAS,115450,22613,68.45,79028,36422,TRUE
P.022,Kelantan,P.022,Pasir Mas,PN - PAS,94544,30717,69.96,66145,28399,FALSE
P.023,Kelantan,P.023,Rantau Panjang,PN - PAS,93248,20636,65.85,61406,31842,TRUE
P.024,Kelantan,P.024,Kubang Kerian,PN - PAS,113640,40847,72.6,82502,31138,FALSE
P.025,Kelantan,P.025,Bachok,PN - PAS,123183,30163,74.03,91192,31991,TRUE
P.026,Kelantan,P.026,Ketereh,PN - PPBM,85281,23107,75.12,64060,21221,FALSE
P.027,Kelantan,P.027,Tanah Merah,PN - PPBM,98782,44498,71.34,70471,28311,FALSE
P.028,Kelantan,P.028,Pasir Puteh,PN - PAS,113070,29120,73.03,82576,30494,TRUE
P.029,Kelantan,P.029,Machang,PN - PPBM,88825,10154,74.33,66024,22801,TRUE
P.030,Kelantan,P.030,Jeli,PN - PPBM,59798,12464,73.13,43732,16066,TRUE
P.031,Kelantan,P.031,Kuala Krai,PN - PAS,92335,25188,71.14,65684,26651,TRUE
P.032,Kelantan,P.032,Gua Musang,PN - PPBM,70254,163,70.18,49306,20948,TRUE
P.033,Terengganu,P.033,Besut,PN - PAS,111650,18666,77.46,86487,25163,TRUE
P.034,Terengganu,P.034,Setiu,PN - PAS,107294,19032,80.18,86029,21265,TRUE
P.035,Terengganu,P.035,Kuala Nerus,PN - PAS,105952,29765,83.56,88536,17416,FALSE
P.036,Terengganu,P.036,Kuala Terengganu,PN - PAS,123305,40907,79.16,97605,25700,FALSE
P.037,Terengganu,P.037,Marang,PN - PAS,131756,41729,83.68,110250,21506,FALSE
P.038,Terengganu,P.038,Hulu Terengganu,PN - PPBM,87917,15734,82.92,72905,15012,FALSE
P.039,Terengganu,P.039,Dungun,PN - PAS,115559,34105,79.72,92128,23431,FALSE
