STATE,WINNING PARTY,Barisan Nasional (BN),Pakatan Harapan (PH),Perikatan Nasional (PN),Gabungan Parti Sarawak (GPS),Gabungan Rakyat Sabah (GRS),Parti Bangsa Malaysia (PBM),Parti Kesejahteraan Demokratik Masyarakat (KDM),Warisan,Muda,Independent
Johor,Pakatan Harapan (PH),9,14,2,0,0,0,0,0,1,0
Kedah,Perikatan Nasional (PN),0,1,14,0,0,0,0,0,0,0
Kelantan,Perikatan Nasional (PN),0,0,14,0,0,0,0,0,0,0
WP K Lumpur,Pakatan Harapan (PH),1,10,0,0,0,0,0,0,0,0
Melaka,Pakatan Harapan (PH),0,3,3,0,0,0,0,0,0,0
Negeri Sembilan,Barisan Nasional (BN),5,3,0,0,0,0,0,0,0,0
Pahang,Perikatan Nasional (PN),5,2,7,0,0,0,0,0,0,0
Perak,Pakatan Harapan (PH),3,11,10,0,0,0,0,0,0,0
Perlis,Perikatan Nasional (PN),0,0,3,0,0,0,0,0,0,0
Pulau Pinang,Pakatan Harapan (PH),0,10,3,0,0,0,0,0,0,0
WP Putrajaya,Perikatan Nasional (PN),0,0,1,0,0,0,0,0,0,0
Sabah,Barisan Nasional (BN),7,5,1,0,6,0,1,3,0,2
Sarawak,Gabungan Parti Sarawak (GPS),0,6,1,23,0,1,0,0,0,0
Selangor,Pakatan Harapan (PH),0,16,6,0,0,0,0,0,0,0
Terengganu,Perikatan Nasional (PN),0,0,8,0,0,0,0,0,0,0
WP Labuan,Perikatan Nasional (PN),0,0,1,0,0,0,0,0,0,0
